questions,area,topic
Describe the concept of *thermal runaway* in IGBT devices.,Power Electronics,IGBT (Insulated Gate Bipolar Transistor)
What is voltage-controlled oscillator?.,Amplifiers and Oscillators,Oscillator
How does a piezoelectric sensor generate an electrical signal?.,Electronic Components and Applications,Capacitor
Describe the gate drive requirements for an IGBT.,Power Electronics,IGBT (Insulated Gate Bipolar Transistor)
What is a flip-flop and how is it used in digital circuits?,Digital Electronics,Flip-Flop
Discuss the merits of using a bridge rectifier in voltmeter circuits for accurate AC voltage measurement.,Rectification and Diode Circuits,Bridge Rectifier
What is the significance of the **holding current** in an SCR?,Power Electronics,SCR (Silicon Controlled Rectifier)
What is Tuned Oscillator Circuit?.,Amplifiers and Oscillators,Oscillator
Explain the principle of *soft switching* in IGBT applications.,Power Electronics,IGBT as Inverter
Describe the regions for Transistor?.,Transistors,Load Line Shift for Transistor
Describe the basic working principle of a light dimmer using a triac.,Power Electronics,TRIAC (Triode for Alternating Current) Application
What is the significance of Moore's Law in the context of integrated circuits?,Miscellaneous Topics,Shockley’s Equation
What is the significance of *switching losses* in IGBT operation?,Power Electronics,IGBT (Insulated Gate Bipolar Transistor)
What are the advantages of using a CMOS technology over NMOS or PMOS alone?.,Transistors,NMOS (N-type Metal-Oxide-Semiconductor)
Describe three terminals of MOSFET?.,Transistors,MOSFET (Metal-Oxide-Semiconductor Field-Effect Transistor)
What are the applications of programmable logic arrays (PLAs)?,Digital Electronics,Electronic Components and Applications
Describe the applications of light-activated SCRs?,Power Electronics,LSCR (Light-Triggered Silicon Controlled Rectifier)
How do you design a 2-to-4 line decoder using basic logic gates?,Logic Gates,Decoder
Explain the difference between a D flip-flop and a T flip-flop.,Digital Electronics,TTL (Transistor-Transistor Logic)
What are the cooling methods used for IGBT modules?,Power Electronics,IGBT (Insulated Gate Bipolar Transistor)
Explain the working principle of an SCR?,Power Electronics,SCR (Silicon Controlled Rectifier)
How does scaling down the dimensions of MOSFETs affect their performance?.,Transistors,MOSFET (Metal-Oxide-Semiconductor Field-Effect Transistor)
How does a 7805 voltage regulator IC maintain a constant 5V output?.,Electronic Components and Applications,Voltage Regulator IC
Why is the MOSFET considered a voltage-controlled device?.,Transistors,MOSFET (Metal-Oxide-Semiconductor Field-Effect Transistor)
What are the Turn on condition for MOSFET?.,Transistors,MOSFET (Metal-Oxide-Semiconductor Field-Effect Transistor)
How does a small base current control a much larger collector current in a BJT?.,Transistors,BJT (Bipolar Junction Transistor)
Describe the operation of an IGBT.,Power Electronics,IGBT (Insulated Gate Bipolar Transistor)
How do ICs contribute to the miniaturization of electronic devices?,Electronic Components and Applications,Integrated Circuits (ICs)
What is the significance of the power rating of a resistor?.,Electronic Components and Applications,Resistor
What is Frequency Demodulation?.,Miscellaneous Topics,Miller Effect Capacitance
How does a MOSFET act as a switch in a digital logic circuit?.,Transistors,MOSFET (Metal-Oxide-Semiconductor Field-Effect Transistor)
Define a digital signal. How is it different from an analog signal?,Electronic Components and Applications,Capacitor
What is the role of an IGBT in a power factor correction (PFC) circuit?,Power Electronics,IGBT (Insulated Gate Bipolar Transistor)
How does a sigma-delta ADC work and where is it used?,Rectification and Diode Circuits,Sigma-Delta ADC
What is a Field-Programmable Gate Array (FPGA)?,Miscellaneous Topics,Shockley’s Equation
Describe constant-gain circuit?.,Amplifiers and Oscillators,Amplifier
Explain the function of a phase-locked loop (PLL) in an IC.,Electronic Components and Applications,555 Timer
What is a signal generator and what is it used for?.,Electronic Instruments,Sawtooth Generator
Describe five-stage ladder network?.,Electronic Components and Applications,"RC Circuit (Resistor, Capacitor Circuit)"
Explain the role of the electron gun in a CRT and how it contributes to the display of waveforms.,Electronic Instruments,CRT (Cathode Ray Tube)
What is the ohmic region for JFET?.,Transistors,JFET (Junction Field-Effect Transistor)
Explain the working principle of a light-activated SCR?,Power Electronics,LSCR (Light-Triggered Silicon Controlled Rectifier)
Describe RIPPLE FACTOR OF RECTIFIER?.,Rectification and Diode Circuits,Ripples
How do you calculate the total capacitance in a parallel circuit?.,Electronic Components and Applications,Capacitor
What is the significance of the V-I characteristics of an SCR?,Power Electronics,SCR (Silicon Controlled Rectifier)
Describe the function of an SR flip-flop with a truth table.,Digital Electronics,SR flip-flop
Describe Fixed-Negative-Voltage Regulators?.,Electronic Components and Applications,Capacitor
What are the key parameters to consider when selecting an IGBT?,Power Electronics,IGBT (Insulated Gate Bipolar Transistor)
How is a power MOSFET used in switching applications?,Transistors,MOSFET (Metal-Oxide-Semiconductor Field-Effect Transistor)
Describe programmable unijunction transistor?.,Transistors,UJT (Unijunction Transistor)
Explain the significance of a setup and hold time in digital circuits.,Digital Electronics,Digital Electronics
What is a digital clock and how does it use counters and flip-flops?,Digital Electronics,Digital Electronics
Describe the principle of operation of a *current source inverter* using an IGBT,Power Electronics,IGBT as Inverter
Describe the operation of a basic RC resistor-capacitor circuit. ?.,Electronic Components and Applications,"RC Circuit (Resistor, Capacitor Circuit)"
Explain the impact of hot carrier injection on MOSFET reliability. ?.,Transistors,MOSFET (Metal-Oxide-Semiconductor Field-Effect Transistor)
What is Nortons Current?.,Miscellaneous Topics,Thevenin Voltage and Norton Current
How does a monostable multivibrator function?,Amplifiers and Oscillators,Astable Multivibrator
What is the significance of a truth table in digital electronics?,Logic Gates,AND Gate
Explain the significance of isolation techniques in IC design.,Electronic Components and Applications,Photodiodes
What are minterms and maxterms in Boolean algebra?,Logic Gates,AND Gate
What is the role of an IGBT in a three-phase inverter?,Power Electronics,IGBT as Inverter
Explain the concept of a multiplexer and its use in digital electronics.,Digital Electronics,Multiplexers (MUX)
What are the use of Shocley's equation?.,Miscellaneous Topics,Shockley’s Equation
What is the purpose of a relay module in electronic circuits?.,Electronic Components and Applications,Electronic Instruments
What is the difference between a series and a parallel circuit?.,Electronic Components and Applications,"RLC Circuit (Resistor, Inductor, Capacitor Circuit)"
What is the role of a power MOSFET in a *half-bridge inverter*?,Power Electronics,MOSFET (Metal-Oxide-Semiconductor Field-Effect Transistor)
What is the function of a Zener diode in a voltage regulation circuit?.,Electronic Components and Applications,Diode
What are the main factors that contribute to MOSFET gate leakage current?.,Transistors,MOSFET (Metal-Oxide-Semiconductor Field-Effect Transistor)
How does an IGBT contribute to the operation of a cycloconverter?,Power Electronics,IGBT as Inverter
How a Transistor constructed?.,Transistors,Construction of Transistors
What is Valence Band?.,Electronic Components and Applications,Photodiodes
Define the term thyristor and explain how it relates to an SCR?,Power Electronics,Thyristor
What is DTL?.,Digital Electronics,DTL (Diode-Transistor Logic)
What is pet option coverage?.,Miscellaneous Topics,Shockley’s Equation
What is Thermal Energy ?.,Miscellaneous Topics,Shockley’s Equation
What are the advantages of using a relay module over directly switching high voltage loads with a microcontroller?.,Electronic Components and Applications,Relay
What is Zener diode?.,Electronic Components and Applications,Diode
Describe the process of designing a simple digital lock using flip-flops.,Digital Electronics,TTL (Transistor-Transistor Logic)
Explain the working principle of a basic operational amplifier op-amp?.,Amplifiers and Oscillators,OP AMP (Operational Amplifier)
What is dual slope method ?.,Electronic Instruments,Electronic Instruments
Compare the advantages and disadvantages of analog and digital multimeters in terms of accuracy and usability.,Electronic Instruments,Multimeter
What is peak output voltage output swing?.,Amplifiers and Oscillators,Amplifier
What are the primary factors to consider when selecting a MOSFET for high-frequency switching applications?.,Transistors,MOSFET (Metal-Oxide-Semiconductor Field-Effect Transistor)
What is FET?.,Transistors,FET (Field-Effect Transistor)
What is the difference between an IGBT and a power MOSFET?,Power Electronics,IGBT (Insulated Gate Bipolar Transistor)
How does the *temperature coefficient* affect the performance of an SCR?,Power Electronics,SCR (Silicon Controlled Rectifier)
How do ICs improve the reliability of electronic systems?,Electronic Components and Applications,Integrated Circuits (ICs)
Explain the concept of a magnitude comparator and its application.,Digital Electronics,Magnitude Comparator
Why BJT is called Bi Polar?.,Transistors,BJT (Bipolar Junction Transistor)
Describe the operation of an astable multivibrator.,Amplifiers and Oscillators,Astable Multivibrator
Describe how a finite state machine (FSM) can be used to model a traffic light system.,Digital Electronics,Miscellaneous Topics
How does a frequency counter measure the frequency of a signal?.,Electronic Instruments,Electronic Instruments
What are the limitations of using a triac in high-power applications?,Power Electronics,TRIAC (Triode for Alternating Current) Application
What is Semiconductor?.,Electronic Components and Applications,LED (Light Emitting Diode)
Explain the concept of a binary-coded decimal (BCD).,Digital Electronics,Binary-coded Decimal (BCD)
Describe the process of calibrating a multimeter and the importance of regular calibration.,Electronic Instruments,Multimeter
Describe the use of a sample-and-hold circuit in ADCs.,Electronic Components and Applications,"RC Circuit (Resistor, Capacitor Circuit)"
How does the *latching current* differ from the *holding current* in an SCR?,Power Electronics,SCR (Silicon Controlled Rectifier)
What Is Chopping waveform?.,Rectification and Diode Circuits,Rectification
Describe the operation of an IGBT in a single-phase inverter.,Power Electronics,IGBT as Inverter
How is an IGBT used in a bidirectional switch?,Power Electronics,IGBT as Inverter
What is a bistable multivibrator and its application?,Amplifiers and Oscillators,Astable Multivibrator
"What does MOSFET stand for, and how does it differ from a BJT?.",Transistors,MOSFET (Metal-Oxide-Semiconductor Field-Effect Transistor)
What is bridge configuration?.,Rectification and Diode Circuits,Bridge Rectifier
What are the limitations of IGBTs in high-frequency applications?,Power Electronics,IGBT (Insulated Gate Bipolar Transistor)
What is Astable multivibrator ?.,Amplifiers and Oscillators,Astable Multivibrator
Explain the importance of yield in IC manufacturing.,Electronic Components and Applications,"RC Circuit (Resistor, Capacitor Circuit)"
What are the main advantages of using a VTVM over other types of voltmeters in laboratory settings?,Electronic Instruments,VTVM (Vacuum Tube Voltmeter)
Explain how a voltmeter is connected in a circuit to measure the voltage across a component.,Electronic Instruments,Multimeter
What is comparator unit?.,Amplifiers and Oscillators,Comparator
Explain the concept of a Gray code.,Digital Electronics,Miscellaneous Topics
What is XTAL?.,Electronic Components and Applications,Crystals (XTAL)
How do you calculate the inductance of a coil?.,Electronic Components and Applications,"RLC Circuit (Resistor, Inductor, Capacitor Circuit)"
What is the role of the base resistor in a BJT amplifier circuit?.,Transistors,BJT (Bipolar Junction Transistor)
Describe JFET Small Signal Model?.,Transistors,JFET (Junction Field-Effect Transistor)
Describe Types Of Amplifier?.,Amplifiers and Oscillators,Amplifier
How many waves can be used for diode rectification?.,Rectification and Diode Circuits,Rectification
What is a system-on-chip (SoC) and how is it different from a standard IC?,Miscellaneous Topics,Miller Effect Capacitance
Describe Sawtooth Generator?.,Electronic Instruments,Sawtooth Generator
Describe FSK Decoders?.,Digital Electronics,FSK (Frequency Shift Keying) Decoders
Explain the concept of a mixed-signal IC.,Electronic Components and Applications,Mixed-Signal IC
Explain the **reverse blocking** state of an SCR.,Power Electronics,Reverse Blocking Mode of SCR
what is transconductance?.,Transistors,BJT (Bipolar Junction Transistor)
"How does temperature affect the resistance of conductors and semiconductors, and what are the implications for electronic circuit design?.",Electronic Components and Applications,"RLC Circuit (Resistor, Inductor, Capacitor Circuit)"
Define a digital-to-analog converter (DAC) and its function.,Electronic Components and Applications,DAC (Digital-to-Analog Converter)
What are the advantages of using ICs over discrete components?,Electronic Components and Applications,Electronic Instruments
What are the characteristics of a high-frequency signal?.,Miscellaneous Topics,Miller Effect Capacitance
What are *De Morgan's Theorems*?,Logic Gates,De Morgan's Theorems
How do you implement a BJT as an audio amplifier?.,Amplifiers and Oscillators,Amplifier
What is Current-series feedback?.,Amplifiers and Oscillators,Amplifier
How is an IGBT used in a multi-level inverter?,Power Electronics,IGBT as Inverter
How do you design a MOSFET common-source amplifier with a given gain?.,Amplifiers and Oscillators,Amplifier
What is a demultiplexer and how is it different from a multiplexer?,Digital Electronics,Mux and Demux
Describe the purpose of a voltage reference IC.,Electronic Components and Applications,Voltage Reference IC
Describe Effect of Negative Feedback on Bandwidth?.,Amplifiers and Oscillators,Amplifier
Describe the process of converting a decimal number to binary.,Digital Electronics,Miscellaneous Topics
Explain the concept of *saturation voltage* in an IGBT.,Power Electronics,IGBT (Insulated Gate Bipolar Transistor)
How does an IGBT function in a voltage source converter?,Power Electronics,IGBT as Inverter
What are the key differences between the decimal and hexadecimal number systems in terms of digit range and usage?,Miscellaneous Topics,Shockley’s Equation
Describe the working of a *buck converter* using a power MOSFET.,Power Electronics,MOSFET (Metal-Oxide-Semiconductor Field-Effect Transistor)
How is *gate triggering* used to turn on an SCR?,Power Electronics,SCR (Silicon Controlled Rectifier)
What is the purpose of a timing diagram in digital circuits?,Digital Electronics,Digital Electronics
What are the common types of failure modes in ICs?,Electronic Components and Applications,LED (Light Emitting Diode)
Describe the operation of an IGBT in a snubberless inverter.,Power Electronics,IGBT as Inverter
What are the light-triggering characteristics of LASCR?.,Power Electronics,LSCR (Light-Triggered Silicon Controlled Rectifier)
"Define SSI, MSI, LSI, VLSI, and ULSI.",Electronic Components and Applications,Miscellaneous Topics
Describe multistage frequency effects of an amplifier?.,Amplifiers and Oscillators,Amplifier
What is Transformer-Coupled PushPull Circuits?.,Amplifiers and Oscillators,Amplifier
What are the key parameters to consider when selecting an SCR for an application?,Power Electronics,SCR (Silicon Controlled Rectifier)
What is a Silicon Controlled Rectifier (SCR)?,Power Electronics,SCR (Silicon Controlled Rectifier)
"How does the doping level of the emitter, base, and collector regions affect the performance of a BJT?.",Transistors,BJT (Bipolar Junction Transistor)
Explain the principle of an active low-pass filter and its advantages over a passive low-pass filter. ?.,Electronic Components and Applications,"RC Circuit (Resistor, Capacitor Circuit)"
Describe phase relationship for AC biasing?.,Rectification and Diode Circuits,"Biasing (DC, AC)"
Describe Reverse Recover Time For Diode?.,Rectification and Diode Circuits,Diode
Explain the operation of a 555 timer IC in astable mode. ?.,Electronic Components and Applications,555 Timer
How does a digital multiplexer function in signal selection?,Digital Electronics,TTL (Transistor-Transistor Logic)
What is a **snubber circuit** and why is it used with SCRs?,Power Electronics,SCR (Silicon Controlled Rectifier)
Describe Digital-Analog Converters?.,Electronic Components and Applications,ADC (Analog-to-Digital Converter)
How are ICs classified based on their integration scale?,Electronic Components and Applications,555 Timer
What is the role of an IGBT in a high-power solid-state relay?,Power Electronics,IGBT as Inverter
Describe Peak Diode Current?.,Rectification and Diode Circuits,Diode
What is a digital system and how does it differ from an analog system?,Digital Electronics,RTL (Resistor-Transistor Logic)
What are the typical voltage and current ratings for commercial SCRs?,Power Electronics,SCR (Silicon Controlled Rectifier)
What is Quasi-Complementary PushPull Amplifier?.,Amplifiers and Oscillators,Amplifier
What is Q-point for DC Biasing?.,Transistors,Load Line Shift for Transistor
How does an analog multiplexer work in an integrated circuit?,Electronic Components and Applications,555 Timer
Define Binary-Coded Decimal (BCD) and explain how to represent the decimal number 92 in BCD.,Digital Electronics,Binary-Coded Decimal (BCD)
What are the main components of a Cathode Ray Tube (CRT) used in a CRO?,Electronic Instruments,CRT (Cathode Ray Tube)
Describe the input and output characteristics of a CE amplifier. ?.,Amplifiers and Oscillators,Amplifier
What is sound modulated light source?.,Electronic Components and Applications,LED (Light Emitting Diode)
What are the key differences between a synchronous and an asynchronous counter?,Digital Electronics,Digital Electronics
"What is the base value of the binary number system, and why is it significant in digital electronics?",Logic Gates,NOT Gate
What is the significance of the load line analysis in the context of diode and transistor circuits?.,Transistors,Load Line Shift for Transistor
Describe Power Efficiency Of Amplifier?.,Amplifiers and Oscillators,Amplifier
How does an OR gate operate? Provide its truth table.,Logic Gates,OR Gate
What are the advantages of using a triac over an SCR in AC control?,Power Electronics,TRIAC (Triode for Alternating Current) Application
Application for the SCR For Emergency Lighting System?.,Power Electronics,SCR (Silicon Controlled Rectifier)
Explain the operation of an SCR in a bidirectional power switch.,Power Electronics,SCR (Silicon Controlled Rectifier)
What are the safety considerations for handling and operating IGBTs?,Power Electronics,IGBT (Insulated Gate Bipolar Transistor)
Describe the procedure for measuring AC voltage using a digital multimeter.,Electronic Instruments,Multimeter
How is an IGBT protected against overvoltage conditions?,Power Electronics,IGBT as Inverter
"What is a Cathode Ray Oscilloscope (CRO), and how is it used to observe electrical waveforms?",Electronic Instruments,Cathode Ray Oscilloscope
What are the primary factors to consider when selecting a MOSFET for high-frequency switching applications?,Transistors,MOSFET (Metal-Oxide-Semiconductor Field-Effect Transistor)
Describe the process of Nematic liquid crystal with applied bias. ?.,Electronic Components and Applications,LCD (Liquid Crystal Display)
What is phase-locked loop?.,Miscellaneous Topics,Miller Effect Capacitance
What is single ended output voltage?.,Amplifiers and Oscillators,Amplifier
What are the harmonic contents for square wave?.,Rectification and Diode Circuits,Rectification
What is CRYSTAL OSCILLATOR?.,Electronic Components and Applications,Crystal Oscillator
What is Voltage Buffer?.,Amplifiers and Oscillators,"Voltage Buffer, Subtraction (Using OP AMP)"
"How does a multimeter measure resistance, and what are the common issues to look out for during this measurement?",Electronic Instruments,Multimeter
Theoretically Describe Steady-state voltagecurrent characteristics of a thermistor?.,Electronic Components and Applications,Thermistor
What are passive electronic components?.,Electronic Components and Applications,Capacitor
How does a power MOSFET operate in a *boost converter* circuit?,Power Electronics,MOSFET (Metal-Oxide-Semiconductor Field-Effect Transistor)
What is the Nyquist rate and why is it important in digital sampling?,Miscellaneous Topics,Nyquist Rate and Digital Sampling
Describe The Operation Of Class B Amplifer?.,Amplifiers and Oscillators,Amplifier
What are the benefits of using a digital storage oscilloscope over a traditional CRO?,Electronic Instruments,Cathode Ray Oscilloscope
What is Ripple Factor of Rectified Signal??.,Rectification and Diode Circuits,Ripples
Describe Beta Range Theoretically For Transistor?.,Transistors,BJT (Bipolar Junction Transistor)
Describe Closed-Loop Gain?.,Amplifiers and Oscillators,Amplifier
Describe the process of wafer testing in IC production.,Electronic Components and Applications,Photodiodes
Explain the function of a digital-to-analog converter (DAC) in an IC.,Electronic Components and Applications,Digital-to-Analog Converter (DAC)
What is pickup transducer?.,Electronic Components and Applications,Photodiodes
What is Parallel-Resonant Circuits?.,Electronic Components and Applications,"RLC Circuit (Resistor, Inductor, Capacitor Circuit)"
What is the purpose of a shift register in digital electronics?,Digital Electronics,Digital Electronics
Explain the operation of a 4-bit ripple carry counter.,Digital Electronics,Ripple Carry Counter
"Explain how to convert a binary number directly to a hexadecimal number, and provide an example with the binary number 11101101.",Digital Electronics,RTL (Resistor-Transistor Logic)
Describe how a digital display decoder works with a seven-segment display.,Digital Electronics,Digital Electronics
What are the advantages and disadvantages of using the octal number system compared to the binary system?,Digital Electronics,RTL (Resistor-Transistor Logic)
How do you implement a simple finite state machine (FSM) using flip-flops?,Digital Electronics,RTL (Resistor-Transistor Logic)
What is fixed time interval for dual slope converter?.,Electronic Instruments,Electronic Instruments
Explain the concept of alternating current AC and direct current DC.,Rectification and Diode Circuits,Rectification
How do you calculate the total resistance in a series circuit?.,Electronic Components and Applications,"RLC Circuit (Resistor, Inductor, Capacitor Circuit)"
What are the characteristics of a resistor with a high resistance value?.,Electronic Components and Applications,Capacitor
Explain the difference between a monolithic IC and a hybrid IC.,Electronic Components and Applications,Electronic Components and Applications
Explain the operation of a parity generator and checker.,Digital Electronics,RTL (Resistor-Transistor Logic)
What is the function of a clock generator IC in electronic circuits?,Electronic Components and Applications,555 Timer
What is load line shift?.,Transistors,Load Line Shift for Transistor
Describe the **forward blocking state** of an SCR.,Power Electronics,SCR (Silicon Controlled Rectifier)
What is an isolation amplifier and why is it used in measurement systems?.,Electronic Instruments,Electronic Instruments
Describe the role of an SCR in a half-wave rectifier circuit?,Rectification and Diode Circuits,SCR in Rectifiers
Define a XNOR gate and provide its truth table.,Logic Gates,Universal Gates
Describe Effect of Negative Feedback on Gain?.,Amplifiers and Oscillators,Amplifier
How does a triac control the speed of an AC motor?,Power Electronics,TRIAC (Triode for Alternating Current) Application
What is Intrinsic Materials?.,Miscellaneous Topics,Intrinsic and Extrinsic Semiconductors
Define Clipper & Clamper Circuit?.,Rectification and Diode Circuits,Clipper and Clamper Circuits
Describe Reduction in Noise?.,Electronic Components and Applications,"RC Circuit (Resistor, Capacitor Circuit)"
How a Zener diode works in Revere bias?.,Rectification and Diode Circuits,Diode
What is deplation region?.,Transistors,BJT (Bipolar Junction Transistor)
What is a *triac* and how does it differ from an SCR?,Power Electronics,TRIAC (Triode for Alternating Current)
Why we use capacitor in mobile phone charging circuit?.,Electronic Components and Applications,Capacitor
How can an SCR be used for AC power control?,Power Electronics,SCR as Inverter
What is voltage resolution?.,Electronic Instruments,Multimeter
How do you design a 4-bit synchronous up-counter?,Digital Electronics,TTL (Transistor-Transistor Logic)
Define LEDs & LCDs?.,Electronic Components and Applications,LED (Light Emitting Diode)
Discuss the advantages of using MOSFETs in high-frequency applications. ?.,Transistors,MOSFET (Metal-Oxide-Semiconductor Field-Effect Transistor)
How is an SCR protected against overcurrent conditions?,Power Electronics,SCR (Silicon Controlled Rectifier)
Describe digital-to-analog conversion?.,Electronic Components and Applications,555 Timer
Describe the process of implementing a digital filter using a finite impulse response (FIR) structure.,Digital Electronics,Finite Impulse Response (FIR) Filter
What is Darlington transistor?.,Transistors,Bipolar Junction Transistor
Discuss the demerits or limitations of a CRO compared to modern digital storage oscilloscopes.,Electronic Instruments,Cathode Ray Oscilloscope
What is the function of a varistor in a surge protection circuit?.,Electronic Components and Applications,Varistor
what is low cutt off frequency ?.,Electronic Components and Applications,"RLC Circuit (Resistor, Inductor, Capacitor Circuit)"
What is Thermal Analogy of a Power Transistor?.,Amplifiers and Oscillators,Power Transistor
What are the main functions of a digital signal processor (DSP) IC?,Electronic Components and Applications,555 Timer
How does a power amplifier differ from a signal amplifier in ICs?,Amplifiers and Oscillators,Amplifier
What are minority Carriers?.,Transistors,BJT (Bipolar Junction Transistor)
Describe the operation of a bandgap reference. ?.,Electronic Components and Applications,Bandgap Reference
What Voltage-shunt feedback ?.,Amplifiers and Oscillators,OP AMP (Operational Amplifier)
Describe the function of a half adder in digital circuits.,Adders,Half Adder
What is a *single-phase SCR inverter* and how does it operate?,Power Electronics,SCR as Inverter
Describe the basic structure of an integrated circuit.,Electronic Components and Applications,LED (Light Emitting Diode)
Describe the purpose of a *gate drive circuit* for an SCR?,Power Electronics,SCR (Silicon Controlled Rectifier)
What is a combinational circuit? Give an example.,Logic Gates,AND Gate
How does a voltage regulator maintain a constant output voltage?.,Electronic Components and Applications,555 Timer
How is a power MOSFET used in a DC-DC converter?,Transistors,MOSFET (Metal-Oxide-Semiconductor Field-Effect Transistor)
What is the role of a triac in a heater control circuit?,Power Electronics,TRIAC (Triode for Alternating Current) Application
What is RC-Coupling in Transistor?.,Amplifiers and Oscillators,Amplifier
How does a ring counter operate and where is it used?,Digital Electronics,Digital Electronics
Explain *thermal triggering* in the context of SCRs?,Power Electronics,SCR (Silicon Controlled Rectifier)
What are the applications of DSP?,Miscellaneous Topics,Shockley’s Equation
What is the significance of the Moore and Mealy state machines in digital design?,Digital Electronics,Digital Electronics
What is Conduction Band?.,Electronic Components and Applications,LED (Light Emitting Diode)
How does a phototransistor differ from a regular transistor?.,Electronic Components and Applications,Photodiodes
What is a ROM and how does it differ from a RAM?,Electronic Components and Applications,ROM and RAM
What are the hybrid parameters for Transistor?.,Transistors,Load Line Shift for Transistor
Explain how Kirchhoff's Voltage Law KVL and Kirchhoff's Current Law KCL can be applied to complex circuit analysis?.,Electronic Components and Applications,"RLC Circuit (Resistor, Inductor, Capacitor Circuit)"
Explain the working principle of a bridge rectifier voltmeter  in AC voltage measurement.,Rectification and Diode Circuits,Bridge Rectifier
Describe the operation of an IGBT in a series resonant inverter.,Power Electronics,IGBT as Inverter
Explain the operation of a 4-bit binary counter.,Digital Electronics,Digital Electronics
What is Transition capacitance?.,Transistors,Load Line Shift for Transistor
What are the characteristics of diode?.,Rectification and Diode Circuits,Diode
What is breakdown region?.,Transistors,BJT (Bipolar Junction Transistor)
How does the gate terminal control the operation of an SCR?,Power Electronics,SCR (Silicon Controlled Rectifier)
Describe the operation of an SCR in a cycloconverter.,Power Electronics,SCR (Silicon Controlled Rectifier)
What is Amplifier Distortion?.,Amplifiers and Oscillators,Amplifier
What is the function of a triac in an AC power control circuit?.,Power Electronics,TRIAC (Triode for Alternating Current) Application
What is Wien Bridge Oscillator?.,Amplifiers and Oscillators,Oscillator
What is *dv/dt triggering* and how does it affect SCR operation?,Power Electronics,SCR (Silicon Controlled Rectifier)
What are the safety considerations for handling and operating SCRs?,Power Electronics,SCR (Silicon Controlled Rectifier)
What are the advantages of using a crystal oscillator in timing circuits?.,Electronic Components and Applications,555 Timer
Describe Silicon-controlled switches SCSs?.,Power Electronics,SCS (Silicon Controlled Switch)
What are the three main terminals of an SCR?,Power Electronics,SCR (Silicon Controlled Rectifier)
Describe Silicon-controlled rectifiers SCRs?.,Power Electronics,SCR (Silicon Controlled Rectifier)
What is Frequency Synthesis?.,Miscellaneous Topics,Shockley’s Equation
What is MOSFET?.,Transistors,MOSFET (Metal-Oxide-Semiconductor Field-Effect Transistor)
What is Astable Operation?.,Amplifiers and Oscillators,Astable Multivibrator
What is Extrisnic Materials?.,Miscellaneous Topics,Shockley’s Equation
What is the purpose of a dual-mode counter?,Digital Electronics,Miscellaneous Topics
Explain the role of an SCR in a DC motor control circuit?,Power Electronics,SCR (Silicon Controlled Rectifier)
What is Strobe Input?.,Digital Electronics,TTL (Transistor-Transistor Logic)
Explain the difference between analog and digital multimeters in terms of their construction and use.,Electronic Instruments,Multimeter
How is a triac used for controlling AC power?,Power Electronics,TRIAC (Triode for Alternating Current) Application
What is the role of a comparator in an ADC?,Amplifiers and Oscillators,Comparator
What is the role of an SCR in a static switch?,Power Electronics,SCR as Inverter
Discuss the environmental impacts of IC manufacturing.,Electronic Components and Applications,Integrated Circuit (IC) Manufacturing
Explain the concept of race conditions in digital circuits and how they can be avoided.,Digital Electronics,RTL (Resistor-Transistor Logic)
