questions,area,topic
What are the key characteristics of a supercapacitor compared to a traditional capacitor?.,Electronic Components and Applications,Capacitor
What is a full adder and how does it differ from a half adder?,Adders,Full Adder
Describe Schottky-Barrier Diode SBD?.,Rectification and Diode Circuits,Diode
What are the small signal parameter for hybrid pie model?.,Transistors,BJT (Bipolar Junction Transistor)
Explain the term 'Boolean algebra' in the context of digital electronics.,Logic Gates,AND Gate
Describe High-Isolation AND Gate?.,Logic Gates,AND Gate
How does a bridge rectifier convert AC to DC?.,Rectification and Diode Circuits,Bridge Rectifier
Explain Current Flow in Semiconductors?.,Rectification and Diode Circuits,Diode
What are the limitations of power MOSFETs in high-frequency applications?,Transistors,MOSFET (Metal-Oxide-Semiconductor Field-Effect Transistor)
Where is the Saturation point Of Transistor?.,Transistors,Load Line Shift for Transistor
What is a NOT gate and what is its primary function?,Logic Gates,NOT Gate
Describe VMOS and UMOS power MOSFET?.,Transistors,UMOS (U-shaped Metal-Oxide-Semiconductor)
What is a binary number system and how does it differ from the decimal system?,Logic Gates,AND Gate
Define the concept of a Karnaugh map and its use in simplifying Boolean expressions.,Logic Gates,Karnaugh Map
Explain the role of electronic design automation (EDA) tools in IC design.,Electronic Instruments,Electronic Instruments
Describe basic biasing arrangement for the unijunction transistor. ?.,Transistors,UJT (Unijunction Transistor)
What is zener breakdown potential?.,Electronic Components and Applications,LED (Light Emitting Diode)
Define the radiant flux?.,Electronic Components and Applications,Photodiodes
What is bridge rectification in diode?.,Rectification and Diode Circuits,Bridge Rectifier
Explain the concept of *gate charge* in IGBT devices.,Power Electronics,IGBT (Insulated Gate Bipolar Transistor)
What is LDR?.,Electronic Components and Applications,Photoconductive Cells
How is an IGBT used in inverter circuits?,Power Electronics,IGBT as Inverter
What is RTL?.,Digital Electronics,RTL (Resistor-Transistor Logic)
Explain the working principle of a basic voltage divider circuit.,Electronic Components and Applications,"RC Circuit (Resistor, Capacitor Circuit)"
Explain the process of photolithography in IC fabrication.,Electronic Components and Applications,Photodiodes
Describe & Classify Filters for Op-Amp?.,Amplifiers and Oscillators,Amplifier
What is Second Harmonic Distortion?.,Amplifiers and Oscillators,Amplifier
Explain TUNNEL DIODES?.,Electronic Components and Applications,Diode
Explain the significance of the propagation delay in digital circuits.,Logic Gates,AND Gate
What is center tapped Transformer?.,Rectification and Diode Circuits,Center Tapped Transformer
What is beta Independent Design ?.,Transistors,Load Line Shift for Transistor
What are the turn on voltages for different diodes?.,Rectification and Diode Circuits,Diode
Describe Push Pull Amplifier?.,Amplifiers and Oscillators,Amplifier
What happens when an SCR is in the **forward conducting** state?,Power Electronics,Forward Conducting Mode of SCR
What is midband gain?.,Amplifiers and Oscillators,Amplifier
Explain the operation of an SCR in a single-phase inverter circuit.,Power Electronics,SCR as Inverter
Discuss the role of passivation layers in IC fabrication.,Electronic Components and Applications,Capacitor
How does a carry-save adder (CSA) improve the speed of binary addition?,Adders,Implementation of Full Adder Using Half Adder
What is Covalent Bond?.,Miscellaneous Topics,Shockley’s Equation
Describe the small-signal model of a CE amplifier and its use in small-signal analysis?.,Amplifiers and Oscillators,Amplifier
How does a triac provide bidirectional control of AC current?,Power Electronics,TRIAC (Triode for Alternating Current) Application
What is an integrated circuit (IC)?,Electronic Components and Applications,LED (Light Emitting Diode)
Describe the characteristics of FET?.,Transistors,FET (Field-Effect Transistor)
Describe Effect of Rnot in hybrid r pie?.,Transistors,Load Line Shift for Transistor
"What are the primary functions of a multimeter, and how is it used in electronic measurements?",Electronic Instruments,Basic Electronic Component 
"How do you derive the time constant for an RC circuit, and what does it signify in terms of circuit behavior?.",Electronic Components and Applications,"RC Circuit (Resistor, Capacitor Circuit)"
what are the rules for binary addition?,Adders,Full Adder
How does a phase-locked loop (PLL) work in frequency synthesis?,Miscellaneous Topics,Shockley’s Equation
Define the term 'voltmeter' and explain its basic working principle.,Electronic Instruments,Multimeter
Describe the operation and applications of a Hall effect sensor. ?.,Electronic Components and Applications,Photodiodes
"How does a capacitor behave at different frequencies, and what implications does this have for AC and DC circuit analysis?.",Electronic Components and Applications,Capacitor
Describe the process of *pulse triggering* for an SCR,Power Electronics,SCR (Silicon Controlled Rectifier)
What is Ladder Network Conversion?.,Electronic Components and Applications,"RC Circuit (Resistor, Capacitor Circuit)"
What is p-type material?.,Transistors,PMOS (P-type Metal-Oxide-Semiconductor)
What is a binary-coded decimal (BCD) and where is it used?,Digital Electronics,RTL (Resistor-Transistor Logic)
What is Thevenin's voltage & resistance?.,Miscellaneous Topics,Thevenin Voltage and Norton Current
What is the purpose of a buffer IC in digital electronics?,Amplifiers and Oscillators,"Voltage Buffer, Subtraction (Using OP AMP)"
Describe Capacitor filter operation?.,Electronic Components and Applications,Capacitor
"How can you use a diode bridge for AC to DC conversion, and what are the advantages of this configuration?.",Rectification and Diode Circuits,Bridge Rectifier
Discuss the importance of layout design rules in IC fabrication.,Electronic Components and Applications,Electronic Instruments
What is DIP Unit?.,Electronic Components and Applications,LED (Light Emitting Diode)
How many DC biasing are available in Electronics?.,Rectification and Diode Circuits,"Biasing (DC, AC)"
Describe The Constant-Voltage-Drop Model?.,Transistors,Load Line Shift for Transistor
What is CMOS technology and why is it widely used in ICs?,Transistors,MOSFET (Metal-Oxide-Semiconductor Field-Effect Transistor)
Describe UJT triggering of an SCR. ?.,Transistors,UJT (Unijunction Transistor)
What is the significance of *reverse recovery time* in IGBT applications?,Power Electronics,IGBT (Insulated Gate Bipolar Transistor)
What are the key considerations in the thermal management of ICs?,Electronic Components and Applications,"RC Circuit (Resistor, Capacitor Circuit)"
What is a binary counter and how is it used in digital circuits?,Digital Electronics,Digital Electronics
Describe Quad comparator IC?.,Amplifiers and Oscillators,Comparator
How is an IGBT used in a high-frequency induction heating system?,Power Electronics,IGBT (Insulated Gate Bipolar Transistor)
What is BJT stabalization ?.,Transistors,BJT (Bipolar Junction Transistor)
"How does a CRT create an image on the screen, and what are the key factors affecting the image quality?",Electronic Instruments,CRT (Cathode Ray Tube)
"What are the primary uses of the BCD number system in digital devices, and how does it simplify calculations?",Digital Electronics,RTL (Resistor-Transistor Logic)
What is PHOTODIODES?.,Electronic Components and Applications,Photodiodes
Compare and contrast NMOS and PMOS transistors.,Transistors,NMOS (N-type Metal-Oxide-Semiconductor) & PMOS (P-type Metal-Oxide-Semiconductor) Transistors
What is a JK flip-flop and how does it operate?,Digital Electronics,JK flip-flop
What is the role of a comparator in digital systems?,Amplifiers and Oscillators,Comparator
Describe the amplification region for diode?.,Rectification and Diode Circuits,Diode
What is the purpose of a binary ripple counter in digital electronics?,Digital Electronics,Digital Electronics
Describe Terminal Characteristics of Junction Diodes?.,Rectification and Diode Circuits,Diode
What is Transistor Phase-Shift Oscillator?.,Amplifiers and Oscillators,Oscillator
What is PHOTOCONDUCTIVE CELLS?.,Electronic Components and Applications,Photoconductive Cells
What is DIAC?.,Power Electronics,DIAC (Diode for Alternating Current)
How does the Early effect influence the behavior of BJTs and how can it be mitigated in circuit design?.,Transistors,BJT (Bipolar Junction Transistor)
what is unity gain amplifier?.,Amplifiers and Oscillators,Amplifier
What are the main applications of analog integrated circuits?,Electronic Components and Applications,Capacitor
What is the purpose of a choke in an electronic circuit?.,Electronic Components and Applications,"RLC Circuit (Resistor, Inductor, Capacitor Circuit)"
What is a shift register and how can it be used to implement serial-to-parallel conversion?,Digital Electronics,Shift Register
What are ideal diodes?.,Rectification and Diode Circuits,Diode
How does a triac control the brightness of a light bulb?,Power Electronics,TRIAC (Triode for Alternating Current) Application
What is a Johnson counter and how does it differ from a regular counter?,Digital Electronics,RTL (Resistor-Transistor Logic)
What are the common methods used for IC packaging?,Electronic Components and Applications,"RC Circuit (Resistor, Capacitor Circuit)"
What is the primary function of a capacitor in an electronic circuit?.,Electronic Components and Applications,Capacitor
What is Voltage Subtraction?.,Amplifiers and Oscillators,"Voltage Buffer, Subtraction (Using OP AMP)"
What is Voltage-series feedback?.,Amplifiers and Oscillators,OP AMP (Operational Amplifier)
Explain the difference between analog and digital signals.,Electronic Components and Applications,LED (Light Emitting Diode)
Describe Unity Gain Amlifier?.,Amplifiers and Oscillators,OP AMP (Operational Amplifier)
How does a flip-flop circuit store binary information?.,Digital Electronics,Flip-Flop Circuit
What is transformer-coupled amplifier?.,Amplifiers and Oscillators,Amplifier
What is slew rate?.,Amplifiers and Oscillators,OP AMP (Operational Amplifier)
How does a Hall effect sensor detect magnetic fields?.,Electronic Components and Applications,Photodiodes
Describe the conversion process from a decimal number to a binary number and convert the number 75 as an example.,Digital Electronics,Binary Number Conversion
What is TRIAC?.,Power Electronics,TRIAC (Triode for Alternating Current) Application
Describe infrared-emitting diode?.,Electronic Components and Applications,LED (Light Emitting Diode)
Describe analog-to-digital conversion?.,Electronic Components and Applications,ADC (Analog-to-Digital Converter)
why are IC important in modern electronics?,Electronic Components and Applications,Integrated Circuits (ICs)
What is the purpose of a decoder in digital circuits?,Digital Electronics,Digital Electronics
Describe Zero-crossing detector using IC?.,Electronic Components and Applications,555 Timer
What is multisim?.,Electronic Instruments,Electronic Instruments
What is Nonlinear Distortion?.,Amplifiers and Oscillators,Amplifier
Describe passive infrarred motion detection?.,Electronic Components and Applications,Photoconductive Cells
What is Reverse Bias ?.,Rectification and Diode Circuits,Diode
What are the challenges in scaling down IC components to nanometer sizes?,Electronic Components and Applications,Capacitor
Explain the concept of electromagnetic interference EMI and its effects on electronic devices.,Miscellaneous Topics,Shockley’s Equation
Explain the concept of oversampling in ADCs.,Electronic Components and Applications,ADC (Analog-to-Digital Converter)
What is n-type material?.,Electronic Components and Applications,LED (Light Emitting Diode)
"How does Ohm's Law relate voltage, current, and resistance?.",Miscellaneous Topics,Shockley’s Equation
Explain the concept of a logic gate. What are the basic types of logic gates?,Logic Gates,AND Gate
What are the limits of operations in Transistor?.,Transistors,Load Line Shift for Transistor
What is the difference between bipolar and unipolar ICs?,Transistors,BJT (Bipolar Junction Transistor)
Describe Harmonic Components??.,Power Electronics,SCR (Silicon Controlled Rectifier)
How do you convert a binary number to its hexadecimal equivalent?,Digital Electronics,RTL (Resistor-Transistor Logic)
How does a current transformer measure electrical current?.,Electronic Instruments,Electronic Instruments
What is the role of a digital phase detector in a phase-locked loop (PLL)?,Electronic Components and Applications,555 Timer
How does a digital-to-analog converter (DAC) use a resistor network?,Electronic Components and Applications,"RC Circuit (Resistor, Capacitor Circuit)"
What are the primary functions of an operational amplifier (op-amp) in ICs?,Amplifiers and Oscillators,OP AMP (Operational Amplifier)
Describe the role of doping in semiconductor manufacturing for ICs.,Transistors,BJT (Bipolar Junction Transistor)
What are Gate turn-off switches GTO?.,Power Electronics,GTO (Gate Turn-Off Thyristor)
What is Human Auditory Response ?.,Miscellaneous Topics,Shockley’s Equation
Describe NMOS & PMOS?.,Transistors,NMOS (N-type Metal-Oxide-Semiconductor) and PMOS (P-type Metal-Oxide-Semiconductor)
Describe the function of a parallel-in parallel-out shift register.,Digital Electronics,Digital Electronics
Describe the operation of a basic LC inductor-capacitor circuit.,Electronic Components and Applications,"RLC Circuit (Resistor, Inductor, Capacitor Circuit)"
What is IC Phase-Shift Oscillator?.,Amplifiers and Oscillators,Oscillator
What is Voltage Multiplier Circuit?.,Electronic Components and Applications,Capacitor
Discuss the importance of temperature stability in ICs.,Electronic Components and Applications,Capacitor
What is the purpose of using a bootstrap capacitor in a MOSFET driver circuit?.,Power Electronics,MOSFET (Metal-Oxide-Semiconductor Field-Effect Transistor)
What are the limitations of bridge rectifier voltmeters when measuring low-frequency signals?,Rectification and Diode Circuits,Bridge Rectifier
What is the function of a rectifier in power supply circuits?.,Rectification and Diode Circuits,Rectification
What are the typical failure modes of an SCR?,Power Electronics,SCR (Silicon Controlled Rectifier)
What is the purpose of a *snubber circuit* for an IGBT?,Power Electronics,IGBT (Insulated Gate Bipolar Transistor)
Explain the difference between an NPN and a PNP transistor.,Transistors,BJT (Bipolar Junction Transistor)
What is count interval for a dual-slope converter?.,Electronic Instruments,Electronic Instruments
What are the main types of memory ICs and their uses?,Electronic Components and Applications,Capacitor
Explain Operation of LIGHT-ACTIVATED SCR?.,Power Electronics,LSCR (Light-Triggered Silicon Controlled Rectifier)
How is an SCR protected against overcurrent conditions?,Power Electronics,SCR (Silicon Controlled Rectifier)
Explain the working principle of a NAND gate. Provide its truth table.,Logic Gates,NAND Gate
How does a power MOSFET function in an inverter circuit?,Power Electronics,IGBT as Inverter
"What is the function of the vertical deflection plates in a CRT, and how do they affect the electron beam?",Electronic Instruments,Cathode Ray Tube
Explain the principle of *phase-shifted modulation* in IGBT inverters.,Power Electronics,IGBT as Inverter
What is the purpose of a timing diagram in the design of digital circuits?,Digital Electronics,Digital Electronics
How does a binary ripple counter work?,Digital Electronics,Digital Electronics
What is AC biasing?.,Rectification and Diode Circuits,"Biasing (DC, AC)"
Explain the significance of power dissipation in IC design.,Electronic Components and Applications,"RC Circuit (Resistor, Capacitor Circuit)"
What are the typical methods for turning off an SCR?,Power Electronics,GTO (Gate Turn-Off Thyristor)
Describe the role of an SCR in a three-phase rectifier?,Power Electronics,SCR in Rectifiers
What are the advantages of using SCRs in power electronics?,Power Electronics,SCR (Silicon Controlled Rectifier)
How does a NOR gate differ from an OR gate? Provide the truth table for a NOR gate.,Logic Gates,NOR Gate
Describe the operation of a Schmitt trigger IC.,Electronic Components and Applications,555 Timer
How do you use a Karnaugh map to simplify a Boolean function?,Logic Gates,AND Gate
Describe Series-Resonant Circuits?.,Electronic Components and Applications,"RLC Circuit (Resistor, Inductor, Capacitor Circuit)"
Describe application of an LASCR is in the AND and OR circuits?.,Power Electronics,LSCR (Light-Triggered Silicon Controlled Rectifier)
Explain the working of a decade counter.,Digital Electronics,Counter
"How does an inductor store energy, and in what form?.",Electronic Components and Applications,"RLC Circuit (Resistor, Inductor, Capacitor Circuit)"
How does an IGBT contribute to the operation of a flyback converter?,Power Electronics,IGBT as Inverter
What is the difference between a triac and a diac?,Power Electronics,TRIAC (Triode for Alternating Current) Application
How does a clock divider circuit work in digital electronics?,Digital Electronics,Digital Electronics
Describe RIPPLE VOLTAGE OF CAPACITOR FILTER?.,Rectification and Diode Circuits,Ripples
Why Current Flow Is Off is PN Junction Reverse Bias?.,Rectification and Diode Circuits,Diode
What are active electronic components?.,Electronic Components and Applications,LED (Light Emitting Diode)
Describe the working of a binary encoder.,Digital Electronics,Digital Electronics
What is Hartley Oscillator?.,Amplifiers and Oscillators,Oscillator
Describe the charge and discharge process of a capacitor in an RC circuit. How can this be modeled mathematically?.,Electronic Components and Applications,"RC Circuit (Resistor, Capacitor Circuit)"
Explain the concept of *thermal runaway* in SCR devices.,Power Electronics,SCR (Silicon Controlled Rectifier)
How does a light-emitting diode LED differ from a standard diode?.,Electronic Components and Applications,LED (Light Emitting Diode)
"How does temperature affect the resistance of conductors and semiconductors, and what are the implications for electronic circuit design?.",Electronic Components and Applications,Miscellaneous Topics
How does a counter work in a digital clock?,Digital Electronics,Digital Electronics
Describe Multiple stage gain?.,Amplifiers and Oscillators,Amplifier
"Explain the demerits of using a VTVM, especially in comparison with digital voltmeters.",Electronic Instruments,VTVM (Vacuum Tube Voltmeter)
What is thermal noise ?.,Electronic Components and Applications,Photodiodes
What is Bandpass Active Filter?.,Amplifiers and Oscillators,Amplifier
Explain the architecture of a digital signal processor (DSP).,Digital Electronics,Digital Signal Processor (DSP)
How do you implement a 4-bit priority encoder?,Digital Electronics,RTL (Resistor-Transistor Logic)
What are the functions of the three main terminals of an SCR?,Power Electronics,SCR (Silicon Controlled Rectifier)
Describe how an FPGA can be programmed to implement a digital circuit.,Digital Electronics,Electronic Components and Applications
What are the different types of semiconductor materials used in electronics?.,Electronic Components and Applications,LED (Light Emitting Diode)
What is the purpose of a bypass capacitor in power supply circuits?.,Electronic Components and Applications,Capacitor
What is Thermal-to-electrical analogy?.,Miscellaneous Topics,Shockley’s Equation
What is the role of an IGBT in a static VAR compensator?,Power Electronics,IGBT as Inverter
How does a binary counter differ from a BCD counter?,Digital Electronics,TTL (Transistor-Transistor Logic)
What is Current-shunt feedback?.,Amplifiers and Oscillators,Amplifier
Describe the role of a transistor in an amplifier circuit.,Amplifiers and Oscillators,Amplifier
Explain the concept of an RLC resistor-inductor-capacitor circuit. ?.,Electronic Components and Applications,"RLC Circuit (Resistor, Inductor, Capacitor Circuit)"
Explain the process of designing a 4-bit binary adder using full adders.,Adders,Implementation of Full Adder Using Half Adder
What is JFET?.,Transistors,JFET (Junction Field-Effect Transistor)
What is an XOR gate? Explain with a truth table.,Logic Gates,XOR Gate
Explain the concept of *duty cycle* in IGBT-based switching circuits.,Power Electronics,IGBT (Insulated Gate Bipolar Transistor)
Discuss the significance of the hexadecimal number system in computer science and digital electronics.,Digital Electronics,Electronic Components and Applications
"How does a 3-to-8 line decoder work, and where is it used?",Logic Gates,Decoder
Describe the basic structure of a power MOSFET.,Transistors,MOSFET (Metal-Oxide-Semiconductor Field-Effect Transistor)
What is Complementary-Symmetry Circuits?.,Electronic Components and Applications,Electronic Components and Applications
Describe the principle of *zero-crossing* switching with SCRs.,Power Electronics,SCR (Silicon Controlled Rectifier)
Explain the use of an SCR in an inverter circuit?,Power Electronics,SCR as Inverter
Describe Operation of a timer circuit?.,Electronic Components and Applications,555 Timer
Compare and contrast the functionality of a voltmeter and an ammeter.,Electronic Instruments,Multimeter
What is the conducting period for diode?.,Rectification and Diode Circuits,Diode
What is the significance of the least significant bit (LSB) and most significant bit (MSB)?,Digital Electronics,Digital Electronics
Describe the role of a microprocessor in an IC.,Miscellaneous Topics,Thevenin Voltage and Norton Current
Describe how an SCR can be used in a battery charger?,Power Electronics,SCR as Inverter
"Explain the energy band theory and how it differentiates between conductors, insulators, and semiconductors.",Electronic Components and Applications,Semiconductors
"Magnitude of the gate current is a great factor for silicon-controlled rectifier SCR,explain?.",Power Electronics,SCR (Silicon Controlled Rectifier)
Explain the difference between a flash ADC and a successive approximation ADC.,Rectification and Diode Circuits,Flash ADC vs. Successive Approximation ADC
What are Light-activated SCRs LSCR?.,Power Electronics,LSCR (Light-Triggered Silicon Controlled Rectifier)
How does a dual-slope ADC achieve high accuracy in digital conversion?,Electronic Instruments,CRT (Cathode Ray Tube)
What is miller effect capacitance?.,Miscellaneous Topics,Miller Effect Capacitance
Describe the method to convert a decimal number to an octal number. Provide an example with the number 100.,Miscellaneous Topics,Conversion of Decimal to Octal
Describe Operation of phase-locked loops?.,Electronic Components and Applications,555 Timer
What is Constant Gain Multilfier?.,Amplifiers and Oscillators,Amplifier
Explain Latching Relay of LASCR?.,Power Electronics,LSCR (Light-Triggered Silicon Controlled Rectifier)
What is a charge-coupled device (CCD) and where is it used?,Electronic Components and Applications,Photodiodes
What is the difference between a power MOSFET and a regular MOSFET?,Transistors,MOSFET (Metal-Oxide-Semiconductor Field-Effect Transistor)
What is Ripple Voltage VrRMS?.,Rectification and Diode Circuits,Ripples
Explain the concept of noise margin in digital ICs.,Digital Electronics,Digital Electronics
How do you design a BJT switch for high-speed applications?.,Transistors,BJT (Bipolar Junction Transistor)
What are the different types of noise in electronic circuits and how can they be mitigated?.,Electronic Components and Applications,Photodiodes
Explain the concept of **threshold voltage** in a power MOSFET.,Transistors,MOSFET (Metal-Oxide-Semiconductor Field-Effect Transistor)
Describe the process of *forced commutation* in SCRs?,Power Electronics,SCR (Silicon Controlled Rectifier)
Explain the function of an analog-to-digital converter (ADC) in an IC.,Electronic Components and Applications,ADC (Analog to Digital Converter)
What is the significance of the *reverse recovery time* in an SCR?,Power Electronics,SCR (Silicon Controlled Rectifier)
Explain operation of Battery-Charging Regulator?.,Electronic Components and Applications,"RLC Circuit (Resistor, Inductor, Capacitor Circuit)"
Describe High frequency response for BJT amplifier?.,Amplifiers and Oscillators,Amplifier
What is a synchronous counter and how is it different from an asynchronous counter?,Digital Electronics,Synchronous Counter
Describe the operation of a 4-to-16 line decoder.,Digital Electronics,Digital Electronics
Explain the operation of a diac in triggering a triac.,Power Electronics,DIAC (Diode for Alternating Current)
Define Clipper & Clamper Circuit?.,Rectification and Diode Circuits,Clipper and Clamper Circuits
Explain the process of converting a binary number to a BCD number. Convert the binary number 1011 to its BCD equivalent.,Digital Electronics,RTL (Resistor-Transistor Logic)
Explain how a shift register can be used to generate a pseudo-random binary sequence.,Digital Electronics,Shift Register
What is Transistor Hartley Oscillator?.,Amplifiers and Oscillators,Oscillator
What is phase-shift oscillator. ?.,Amplifiers and Oscillators,Oscillator
How does the choice between n-channel and p-channel MOSFETs impact the efficiency and design of power electronic circuits?.,Transistors,MOSFET (Metal-Oxide-Semiconductor Field-Effect Transistor)
What are the key differences between a VTVM (Vacuum Tube Voltmeter) and a traditional analog voltmeter?,Electronic Instruments,VTVM (Vacuum Tube Voltmeter)
Describe how an arithmetic logic unit (ALU) functions in a digital circuit.,Digital Electronics,ALU (Arithmetic Logic Unit)
How do integrated circuits support advancements in telecommunications?,Electronic Components and Applications,555 Timer
What is SERIES-FED CLASS A AMPLIFIER?.,Amplifiers and Oscillators,Amplifier
Describe basic construction of a silicon p  n junction solar cell?.,Electronic Components and Applications,Photodiodes
How does an IGBT function in a pulse-width modulation (PWM) inverter?,Power Electronics,IGBT as Inverter
What is high pass filter?.,Electronic Components and Applications,"RLC Circuit (Resistor, Inductor, Capacitor Circuit)"
Describe the basic construction of an SCR?,Power Electronics,SCR (Silicon Controlled Rectifier)
What are the advantages of using a switch-mode power supply SMPS?.,Power Electronics,SCR (Silicon Controlled Rectifier)
How is an IGBT used in a *chopper circuit*?,Power Electronics,IGBT as Inverter
Define the concept of a finite state machine (FSM).,Digital Electronics,Finite State Machine (FSM)
How is an SCR used in overvoltage protection circuits?,Power Electronics,SCR (Silicon Controlled Rectifier)
Describe Frequency Spectrum of Signals?.,Miscellaneous Topics,Shockley’s Equation
Describe Power Calculation Of Amplifiers?.,Amplifiers and Oscillators,Amplifier
Why Feedback circuit used as an oscillator. ?.,Amplifiers and Oscillators,Oscillator
Describe depletion type MOSFET?.,Transistors,MOSFET (Metal-Oxide-Semiconductor Field-Effect Transistor)
Explain the concept of *thermal impedance* in IGBT devices.,Power Electronics,IGBT (Insulated Gate Bipolar Transistor)
Define voltage regulation in terms of diode?.,Rectification and Diode Circuits,Diode
What is threshold voltage?.,Transistors,MOSFET (Metal-Oxide-Semiconductor Field-Effect Transistor)
Explain the function of a phase-locked loop (PLL) in digital communication.,Electronic Components and Applications,555 Timer
Explain the concept of *natural commutation* in SCRs?,Power Electronics,SCR (Silicon Controlled Rectifier)
What is Forward Bias ?.,Rectification and Diode Circuits,Diode
What is inverting & non inverting amplifier?.,Amplifiers and Oscillators,Amplifier
Describe the function of the time base control in a CRO and its importance in waveform analysis.,Electronic Instruments,Cathode Ray Oscilloscope
Describe the function of an AND gate and provide its truth table.,Logic Gates,AND Gate
Why is a BJT considered a current-controlled device?.,Transistors,BJT (Bipolar Junction Transistor)
Explain Varactor Varicap Diodes?.,Electronic Components and Applications,Diode
How do you calculate the power dissipation in a BJT?.,Transistors,BJT (Bipolar Junction Transistor)
Explain OPTO-ISOLATORS?.,Electronic Components and Applications,LED (Light Emitting Diode)
Describe the use of a watchdog timer in digital systems.,Electronic Components and Applications,555 Timer
How does a thermistor differ from a regular resistor?.,Electronic Components and Applications,Resistor
Explain the working principle of an analog-to-digital converter (ADC).,Electronic Components and Applications,ADC (Analog-to-Digital Converter)
Describe SCHOTTKY BARRIER HOT-CARRIER DIODES?.,Electronic Components and Applications,Diode
Describe Capacitive Effects in the pn Junction?.,Electronic Components and Applications,Capacitor
Explain the concept of *zero-crossing* in triac control.,Power Electronics,TRIAC (Triode for Alternating Current) Application
Describe Adjustable-Voltage Regulators?.,Electronic Components and Applications,Voltage Regulator
How do you calculate the capacitance of a parallel plate capacitor?.,Electronic Components and Applications,Capacitor
Describe the process of designing a 4-bit binary multiplier using logic gates.,Logic Gates,AND Gate
Explain the concept of *phase control* using an SCR?,Power Electronics,SCR (Silicon Controlled Rectifier)
What is Light Emitting diode?.,Electronic Components and Applications,LED (Light Emitting Diode)
What is Transistor Colpitts Oscillator?.,Amplifiers and Oscillators,Oscillator
What is the purpose of a watchdog timer IC in embedded systems?,Electronic Components and Applications,555 Timer
List the primary merits of using a CRO for electronic measurements and testing.,Electronic Instruments,Cathode Ray Oscilloscope
Describe the function of a programmable logic device (PLD).,Digital Electronics,Electronic Components and Applications
What are the offset parameters for OP-AMP?.,Amplifiers and Oscillators,OP AMP (Operational Amplifier)
What is low pass Filter?.,Electronic Components and Applications,"RLC Circuit (Resistor, Inductor, Capacitor Circuit)"
Describe Variable-Resistance Phase Control?.,Power Electronics,SCR (Silicon Controlled Rectifier)
What is ripple?.,Rectification and Diode Circuits,Ripples
What are majority Carriers?.,Transistors,BJT (Bipolar Junction Transistor)
Describe the purpose of a voltage regulator IC.,Electronic Components and Applications,Voltage Regulator IC
How does an IGBT function in a unified power flow controller?,Power Electronics,IGBT as Inverter
What is 3 channel Audio mixer?.,Amplifiers and Oscillators,Amplifier
How does an IGBT function in a high-voltage direct current (HVDC) system?,Power Electronics,IGBT as Inverter
Describe Colpitts Oscillator?.,Amplifiers and Oscillators,Oscillator
What is diffusion capacitance?.,Transistors,BJT (Bipolar Junction Transistor)
What is the function of a look-ahead carry adder?,Adders,Implementation of Full Adder Using Half Adder
What is UNIJUNCTION OSCILLATOR?.,Transistors,UJT (Unijunction Transistor)
What materials are typically used as substrates in ICs and why?,Electronic Components and Applications,ICs (Integrated Circuits)
How does an SCR function in a full-wave rectifier circuit?,Power Electronics,SCR in Rectifiers
What is IGBT?,Power Electronics,IGBT (Insulated Gate Bipolar Transistor)
Describe the role of a *freewheeling diode* in IGBT circuits.,Power Electronics,IGBT (Insulated Gate Bipolar Transistor)
Describe the advantages of using a VTVM for measuring high-frequency signals compared to other voltmeters.,Electronic Instruments,VTVM (Vacuum Tube Voltmeter)
Describe operation of Oscillator ?.,Amplifiers and Oscillators,Oscillator
How is an IGBT used in a resonant converter?,Power Electronics,IGBT as Inverter